Target,Time
24.970878129846362,2024-09-12 13:06:28
27.257283066376132,2024-09-12 13:06:53
26.884602408881605,2024-09-12 13:07:18
26.57881512721525,2024-09-12 13:07:43
27.168057454957683,2024-09-12 13:08:08
29.088525651833322,2024-09-12 13:08:33
31.200279988973374,2024-09-12 13:08:58
29.72014406245847,2024-09-12 13:09:23
28.16228558188647,2024-09-12 13:09:48
26.825022497176523,2024-09-12 13:10:13
25.64575018501175,2024-09-12 13:10:38
24.928235062686383,2024-09-12 13:11:03
25.002435123316943,2024-09-12 13:11:28
25.511693310864885,2024-09-12 13:11:53
25.213907546475596,2024-09-12 13:12:18
25.360120936183463,2024-09-12 13:12:43
25.311951385091035,2024-09-12 13:13:08
25.01354618583219,2024-09-12 13:13:33
24.42127953327839,2024-09-12 13:13:58
23.78212693821815,2024-09-12 13:14:23
23.87379976673008,2024-09-12 13:14:48
