State,Time,Device,Unit
54.888888888888886,2024-09-13 20:58:01,TEMP_sensor,C
54.77777777777778,2024-09-13 20:58:26,TEMP_sensor,C
54.55555555555556,2024-09-13 20:58:51,TEMP_sensor,C
54.55555555555556,2024-09-13 20:59:16,TEMP_sensor,C
54.55555555555556,2024-09-13 20:59:41,TEMP_sensor,C
54.44444444444444,2024-09-13 21:00:06,TEMP_sensor,C
54.22222222222222,2024-09-13 21:00:31,TEMP_sensor,C
54.111111111111114,2024-09-13 21:00:56,TEMP_sensor,C
54.111111111111114,2024-09-13 21:01:21,TEMP_sensor,C
56.0479012345679,2024-09-13 21:01:46,TEMP_sensor,C
56.0479012345679,2024-09-13 21:02:11,TEMP_sensor,C
55.5597585733882,2024-09-13 21:02:36,TEMP_sensor,C
55.31644249352233,2024-09-13 21:03:01,TEMP_sensor,C
55.20427004284578,2024-09-13 21:03:26,TEMP_sensor,C
55.16579832743052,2024-09-13 21:03:51,TEMP_sensor,C
55.17477547075852,2024-09-13 21:04:16,TEMP_sensor,C
55.22249745669026,2024-09-13 21:04:41,TEMP_sensor,C
55.30052559694172,2024-09-13 21:05:06,TEMP_sensor,C
61.0,2024-09-13 21:05:31,TEMP_sensor,C
